Portfolio,Facility ID,Property type,Rating snapshot date,Internal rating,Loan Balance,Interest rate,Property value,Net operating income,Interest coverage ratio,Original term,Months to maturity,Tenant turnover,Year of construction,Default flag
Commercial Real Estate,ABC1003999,Retail space,1/1/15,10,"$2,991,471.73 ",5.23%,"$4,097,906.48 ","$116,380.54 ",0.74,60,43,28%,2006,0
Commercial Real Estate,ABC1004000,Multifamily residential,1/1/16,10,"$1,264,207.61 ",5.80%,"$1,731,791.25 ","$85,204.13 ",1.16,180,58,1%,1995,0
Commercial Real Estate,ABC1004001,Retail space,1/1/12,9,"$1,160,891.64 ",4.84%,"$1,813,893.20 ","$59,858.48 ",1.07,60,55,1%,2000,0
Commercial Real Estate,ABC1004002,Office building,1/1/18,4,"$3,051,292.63 ",4.20%,"$5,448,736.84 ","$426,091.22 ",3.32,180,70,2%,2007,0
Commercial Real Estate,ABC1004003,Retail space,1/1/14,8,"$2,243,728.68 ",5.42%,"$3,348,848.77 ","$224,707.75 ",1.85,120,112,30%,2000,0
Commercial Real Estate,ABC1004004,Retail space,1/1/16,7,"$1,837,480.84 ",4.45%,"$2,963,678.78 ","$161,224.13 ",1.97,60,13,32%,1996,0
Commercial Real Estate,ABC1004005,Multifamily residential,1/1/11,10,"$11,024,187.63 ",5.56%,"$14,698,916.84 ","$717,307.14 ",1.17,60,35,29%,2008,0
Commercial Real Estate,ABC1004006,Multifamily residential,1/1/18,8,"$8,818,140.84 ",5.56%,"$14,455,968.59 ","$617,269.86 ",1.26,120,109,11%,2002,0
Commercial Real Estate,ABC1004007,Multifamily residential,1/1/14,11,"$1,726,534.36 ",4.84%,"$2,365,115.56 ","$29,327.43 ",0.35,120,2,2%,2004,1
Commercial Real Estate,ABC1004008,Multifamily residential,1/1/18,6,"$1,196,634.97 ",5.77%,"$2,346,343.08 ","$119,898.13 ",1.74,120,103,12%,2002,0
Commercial Real Estate,ABC1004009,Retail space,1/1/17,8,"$2,792,830.95 ",5.30%,"$3,674,777.57 ","$331,464.94 ",2.24,120,67,2%,2005,0
Commercial Real Estate,ABC1004010,Retail space,1/1/14,10,"$3,786,253.44 ",4.70%,"$5,186,648.55 ","$177,383.38 ",1,180,176,7%,1996,0
Commercial Real Estate,ABC1004011,Retail space,1/1/17,7,"$1,003,706.39 ",5.06%,"$1,454,646.94 ","$112,444.21 ",2.21,60,44,11%,1995,0
Commercial Real Estate,ABC1004012,Multifamily residential,1/1/12,8,"$2,792,161.49 ",5.75%,"$4,230,547.72 ","$223,372.92 ",1.39,120,7,6%,2007,0
Commercial Real Estate,ABC1004013,Retail space,1/1/13,8,"$18,761,500.24 ",5.70%,"$27,190,580.06 ","$1,819,049.81 ",1.7,60,53,11%,1995,0
Commercial Real Estate,ABC1004014,Multifamily residential,1/1/17,8,"$1,355,614.89 ",4.39%,"$2,053,961.95 ","$86,266.40 ",1.45,120,40,11%,2002,0
Commercial Real Estate,ABC1004015,Multifamily residential,1/1/14,8,"$747,823.59 ",4.37%,"$1,099,740.58 ","$49,598.30 ",1.52,120,97,1%,1997,0
Commercial Real Estate,ABC1004016,Multifamily residential,1/1/11,8,"$4,965,694.64 ",5.29%,"$6,620,926.19 ","$685,927.95 ",2.61,120,21,2%,2003,0
Commercial Real Estate,ABC1004017,Office building,1/1/12,10,"$2,148,386.25 ",5.64%,"$2,685,482.81 ","$190,400.73 ",1.57,120,80,39%,1999,1
Commercial Real Estate,ABC1004018,Retail space,1/1/14,9,"$2,490,185.15 ",5.04%,"$4,016,427.66 ","$94,386.05 ",0.75,120,55,1%,2001,0
Commercial Real Estate,ABC1004019,Retail space,1/1/12,9,"$1,813,483.21 ",5.61%,"$2,386,162.12 ","$178,723.54 ",1.76,120,53,7%,2001,0
Commercial Real Estate,ABC1004020,Retail space,1/1/13,10,"$7,474,765.28 ",4.74%,"$11,325,401.94 ","$121,181.80 ",0.34,120,53,8%,2008,0
Commercial Real Estate,ABC1004021,Multifamily residential,1/1/15,7,"$814,782.69 ",4.65%,"$1,147,581.25 ","$92,380.29 ",2.44,120,53,34%,2008,0
Commercial Real Estate,ABC1004022,Office building,1/1/18,9,"$18,078,375.13 ",5.19%,"$26,982,649.46 ","$1,203,426.17 ",1.28,120,22,9%,2008,0
Commercial Real Estate,ABC1004023,Multifamily residential,1/1/15,10,"$4,877,545.55 ",4.50%,"$6,334,474.74 ","$281,884.13 ",1.28,60,11,10%,1995,1
Commercial Real Estate,ABC1004024,Retail space,1/1/13,8,"$467,556.38 ",4.47%,"$615,205.76 ","$47,986.05 ",2.3,60,33,3%,2008,0
Commercial Real Estate,ABC1004025,Office building,1/1/15,7,"$530,236.40 ",4.29%,"$803,388.49 ","$47,078.57 ",2.07,120,110,1%,2001,0
Commercial Real Estate,ABC1004026,Multifamily residential,1/1/15,10,"$724,244.64 ",4.83%,"$905,305.80 ","$53,050.92 ",1.52,60,45,5%,2006,0
Commercial Real Estate,ABC1004027,Office building,1/1/14,10,"$3,512,179.31 ",4.04%,"$4,746,188.25 ","$196,492.19 ",1.38,120,6,7%,1998,0
Commercial Real Estate,ABC1004028,Office building,1/1/13,9,"$1,629,477.58 ",5.68%,"$2,172,636.77 ","$162,078.70 ",1.75,120,16,12%,1996,0
Commercial Real Estate,ABC1004029,Multifamily residential,1/1/14,9,"$4,281,636.48 ",5.81%,"$6,487,328.00 ","$306,201.88 ",1.23,120,82,8%,2004,0
Commercial Real Estate,ABC1004030,Office building,1/1/15,11,"$4,792,253.20 ",4.91%,"$6,305,596.31 ","$213,759.71 ",0.91,60,12,15%,2008,0
Commercial Real Estate,ABC1004031,Multifamily residential,1/1/16,9,"$2,010,268.07 ",5.56%,"$3,045,860.71 ","$100,208.82 ",0.9,60,11,3%,2008,0
Commercial Real Estate,ABC1004032,Multifamily residential,1/1/17,8,"$1,063,094.97 ",5.80%,"$1,497,316.86 ","$136,854.76 ",2.22,60,5,12%,2005,0
Commercial Real Estate,ABC1004033,Retail space,1/1/18,9,"$1,538,379.05 ",4.36%,"$2,197,684.36 ","$97,357.42 ",1.45,120,78,6%,2003,0
Commercial Real Estate,ABC1004034,Multifamily residential,1/1/12,5,"$1,569,214.84 ",5.18%,"$2,572,483.34 ","$216,860.35 ",2.67,60,7,10%,1997,0
Commercial Real Estate,ABC1004035,Office building,1/1/18,10,"$11,857,699.38 ",4.68%,"$17,698,058.78 ","$424,753.41 ",0.77,120,4,4%,2005,1
Commercial Real Estate,ABC1004036,Retail space,1/1/16,6,"$1,834,089.87 ",4.90%,"$3,056,816.45 ","$181,574.90 ",2.02,120,8,14%,2002,0
Commercial Real Estate,ABC1004037,Multifamily residential,1/1/17,8,"$11,639,430.00 ",5.17%,"$17,906,815.38 ","$762,830.34 ",1.27,60,11,8%,2006,1
Commercial Real Estate,ABC1004038,Multifamily residential,1/1/13,11,"$5,216,919.86 ",4.13%,"$7,146,465.56 ","$138,641.43 ",0.64,120,5,14%,1998,1
Commercial Real Estate,ABC1004039,Multifamily residential,1/1/17,10,"$4,853,502.50 ",4.48%,"$6,066,878.12 ","$383,426.70 ",1.76,120,32,14%,2005,0
Commercial Real Estate,ABC1004040,Multifamily residential,1/1/19,11,"$38,533,613.48 ",5.69%,"$48,776,725.93 ","$1,477,934.80 ",0.67,60,59,9%,1998,0
Commercial Real Estate,ABC1004041,Retail space,1/1/11,8,"$8,497,917.57 ",5.63%,"$13,073,719.34 ","$848,484.39 ",1.77,60,43,12%,2008,0
Commercial Real Estate,ABC1004042,Multifamily residential,1/1/18,8,"$1,687,166.31 ",4.98%,"$2,343,286.55 ","$203,631.60 ",2.42,60,48,4%,2005,0
Commercial Real Estate,ABC1004043,Retail space,1/1/18,10,"$6,474,396.29 ",4.72%,"$8,632,528.39 ","$387,600.52 ",1.27,120,60,14%,1998,0
Commercial Real Estate,ABC1004044,Retail space,1/1/17,7,"$4,285,780.61 ",4.06%,"$6,493,606.99 ","$432,474.23 ",2.49,60,20,8%,1999,0
Commercial Real Estate,ABC1004045,Retail space,1/1/14,8,"$3,404,128.60 ",4.44%,"$5,080,788.96 ","$282,999.95 ",1.87,120,58,14%,2003,0
Commercial Real Estate,ABC1004046,Multifamily residential,1/1/13,7,"$2,693,618.59 ",4.01%,"$3,903,795.05 ","$261,554.27 ",2.42,60,33,3%,2001,0
Commercial Real Estate,ABC1004047,Retail space,1/1/13,9,"$1,419,043.64 ",5.48%,"$1,970,893.95 ","$120,027.44 ",1.54,120,114,31%,1995,0
Commercial Real Estate,ABC1004048,Office building,1/1/13,7,"$3,669,484.36 ",4.47%,"$5,824,578.35 ","$302,295.62 ",1.84,120,63,7%,2007,0
Commercial Real Estate,ABC1004049,Retail space,1/1/17,6,"$9,376,208.64 ",5.27%,"$17,690,959.70 ","$757,173.08 ",1.53,60,24,14%,2008,0
Commercial Real Estate,ABC1004050,Retail space,1/1/18,10,"$7,632,904.91 ",5.27%,"$10,043,295.94 ","$448,935.33 ",1.12,60,21,8%,1997,0
Commercial Real Estate,ABC1004051,Multifamily residential,1/1/17,10,"$1,025,056.71 ",5.94%,"$1,297,540.14 ","$97,185.76 ",1.6,120,68,7%,1996,0
Commercial Real Estate,ABC1004052,Retail space,1/1/14,9,"$2,940,847.90 ",4.32%,"$3,819,282.98 ","$254,746.17 ",2.01,120,83,14%,2008,1
Commercial Real Estate,ABC1004053,Retail space,1/1/18,8,"$2,121,363.92 ",5.20%,"$3,367,244.31 ","$142,434.43 ",1.29,120,22,31%,2000,0
Commercial Real Estate,ABC1004054,Office building,1/1/13,6,"$8,399,171.00 ",5.09%,"$13,123,704.69 ","$1,061,707.71 ",2.48,120,113,37%,1996,1
Commercial Real Estate,ABC1004055,Multifamily residential,1/1/17,8,"$5,711,144.92 ",5.15%,"$7,823,486.19 ","$573,461.54 ",1.95,60,45,11%,2000,0
Commercial Real Estate,ABC1004056,Retail space,1/1/15,9,"$15,309,250.09 ",4.51%,"$21,562,324.07 ","$1,162,209.27 ",1.68,120,7,14%,2001,1
Commercial Real Estate,ABC1004057,Multifamily residential,1/1/15,9,"$3,539,465.57 ",4.35%,"$4,915,924.40 ","$245,796.22 ",1.6,120,2,11%,1997,1
Commercial Real Estate,ABC1004058,Multifamily residential,1/1/17,10,"$1,300,113.26 ",5.19%,"$1,780,977.06 ","$70,348.59 ",1.04,60,50,4%,2005,0
Commercial Real Estate,ABC1004059,Office building,1/1/11,9,"$10,491,510.75 ",4.76%,"$15,428,692.28 ","$521,489.80 ",1.04,60,52,3%,1998,0
Commercial Real Estate,ABC1004060,Office building,1/1/12,11,"$5,535,315.93 ",4.95%,"$6,919,144.91 ","$356,335.96 ",1.3,60,27,4%,1997,0
Commercial Real Estate,ABC1004061,Retail space,1/1/14,6,"$2,252,602.30 ",4.52%,"$3,575,559.20 ","$244,210.69 ",2.4,120,62,8%,2003,0
Commercial Real Estate,ABC1004062,Multifamily residential,1/1/15,9,"$14,713,943.79 ",4.00%,"$24,938,887.77 ","$404,009.98 ",0.69,120,50,5%,2004,0
Commercial Real Estate,ABC1004063,Retail space,1/1/17,10,"$1,916,161.82 ",4.69%,"$2,488,521.85 ","$112,730.04 ",1.25,120,98,5%,2007,1
Commercial Real Estate,ABC1004064,Retail space,1/1/15,11,"$2,166,037.93 ",5.97%,"$2,888,050.58 ","$115,522.02 ",0.89,120,5,13%,1996,1
Commercial Real Estate,ABC1004065,Office building,1/1/16,6,"$1,982,121.35 ",4.08%,"$2,914,884.34 ","$246,016.24 ",3.04,60,49,2%,1997,1
Commercial Real Estate,ABC1004066,Retail space,1/1/18,7,"$937,906.96 ",5.57%,"$1,320,995.72 ","$132,495.87 ",2.54,60,5,10%,1995,1
Commercial Real Estate,ABC1004067,Retail space,1/1/17,9,"$1,171,498.46 ",5.22%,"$1,627,081.20 ","$80,215.10 ",1.31,60,6,10%,1998,0
Commercial Real Estate,ABC1004068,Multifamily residential,1/1/18,5,"$4,882,012.91 ",4.04%,"$8,274,598.16 ","$563,500.13 ",2.86,120,68,9%,2008,0
Commercial Real Estate,ABC1004069,Retail space,1/1/19,9,"$7,330,334.03 ",4.06%,"$10,623,672.51 ","$405,824.29 ",1.36,180,154,6%,1998,1
Commercial Real Estate,ABC1004070,Retail space,1/1/18,6,"$2,333,744.87 ",4.55%,"$3,286,964.61 ","$364,524.38 ",3.43,60,47,5%,2002,0
Commercial Real Estate,ABC1004071,Retail space,1/1/12,7,"$2,822,255.55 ",5.23%,"$4,703,759.25 ","$278,462.55 ",1.89,120,27,36%,2001,0
Commercial Real Estate,ABC1004072,Multifamily residential,1/1/12,9,"$2,295,594.67 ",4.61%,"$3,144,650.23 ","$163,207.35 ",1.54,120,33,12%,1995,0
Commercial Real Estate,ABC1004073,Retail space,1/1/15,8,"$1,353,238.97 ",5.69%,"$1,828,701.31 ","$166,228.95 ",2.16,120,42,9%,1997,0
Commercial Real Estate,ABC1004074,Multifamily residential,1/1/12,7,"$40,351,517.66 ",4.90%,"$67,252,529.43 ","$3,187,769.89 ",1.61,60,2,7%,2006,0
Commercial Real Estate,ABC1004075,Retail space,1/1/16,4,"$1,507,572.29 ",4.12%,"$3,207,600.62 ","$186,682.36 ",3.01,60,10,2%,2006,0
Commercial Real Estate,ABC1004076,Retail space,1/1/12,7,"$1,744,464.62 ",5.38%,"$2,683,791.72 ","$175,519.98 ",1.87,60,56,39%,2007,0
Commercial Real Estate,ABC1004077,Retail space,1/1/17,8,"$1,696,934.82 ",5.52%,"$2,571,113.36 ","$163,008.59 ",1.74,120,109,12%,1995,0
Commercial Real Estate,ABC1004078,Retail space,1/1/17,8,"$745,545.31 ",5.20%,"$1,065,064.74 ","$75,193.57 ",1.94,60,24,15%,2003,0
Commercial Real Estate,ABC1004079,Retail space,1/1/17,7,"$1,625,326.39 ",4.42%,"$2,390,185.87 ","$158,469.32 ",2.21,60,16,1%,1996,0
Commercial Real Estate,ABC1004080,Multifamily residential,1/1/19,6,"$14,524,572.32 ",5.45%,"$23,810,774.30 ","$2,002,486.12 ",2.53,120,8,13%,2002,0
Commercial Real Estate,ABC1004081,Retail space,1/1/19,8,"$1,144,333.42 ",4.26%,"$2,007,602.49 ","$33,125.44 ",0.68,120,80,28%,2001,0
Commercial Real Estate,ABC1004082,Retail space,1/1/19,9,"$5,716,749.58 ",5.20%,"$7,424,350.11 ","$604,342.10 ",2.03,180,95,2%,2007,0
Commercial Real Estate,ABC1004083,Multifamily residential,1/1/17,8,"$6,389,995.96 ",5.60%,"$8,999,994.31 ","$821,699.48 ",2.3,180,60,2%,1996,0
Commercial Real Estate,ABC1004084,Office building,1/1/14,8,"$2,683,557.81 ",5.68%,"$4,399,275.09 ","$175,531.08 ",1.15,60,7,5%,2000,0
Commercial Real Estate,ABC1004085,Multifamily residential,1/1/19,4,"$574,143.13 ",5.58%,"$1,063,228.03 ","$108,023.97 ",3.37,180,81,13%,2002,0
Commercial Real Estate,ABC1004086,Multifamily residential,1/1/14,7,"$5,430,656.33 ",5.48%,"$7,870,516.43 ","$713,855.84 ",2.4,60,41,6%,2003,0
Commercial Real Estate,ABC1004087,Multifamily residential,1/1/16,9,"$5,952,066.57 ",4.97%,"$8,266,759.13 ","$455,498.43 ",1.54,60,49,13%,2003,0
Commercial Real Estate,ABC1004088,Multifamily residential,1/1/14,8,"$1,762,398.20 ",4.11%,"$2,670,300.31 ","$120,163.51 ",1.66,120,44,6%,2000,0
Commercial Real Estate,ABC1004089,Multifamily residential,1/1/13,8,"$1,826,317.09 ",5.26%,"$2,767,147.11 ","$128,672.34 ",1.34,120,112,9%,2001,0
Commercial Real Estate,ABC1004090,Retail space,1/1/13,9,"$8,303,337.35 ",5.80%,"$11,071,116.47 ","$732,907.91 ",1.52,120,91,9%,1996,0
Commercial Real Estate,ABC1004091,Multifamily residential,1/1/17,6,"$1,034,781.09 ",4.75%,"$1,815,405.42 ","$112,555.14 ",2.29,120,98,11%,2008,0
Commercial Real Estate,ABC1004092,Multifamily residential,1/1/16,9,"$21,502,518.74 ",4.31%,"$29,057,457.75 ","$1,487,741.84 ",1.61,120,92,34%,2002,0
Commercial Real Estate,ABC1004093,Multifamily residential,1/1/16,7,"$4,617,250.20 ",5.72%,"$7,695,416.99 ","$510,975.69 ",1.93,120,82,39%,2001,0
Commercial Real Estate,ABC1004094,Multifamily residential,1/1/13,7,"$11,743,566.25 ",5.37%,"$20,970,654.02 ","$855,602.68 ",1.36,60,30,12%,1998,0
Commercial Real Estate,ABC1004095,Multifamily residential,1/1/16,8,"$2,854,871.76 ",5.24%,"$4,198,340.83 ","$284,647.51 ",1.9,60,3,10%,1997,0
Commercial Real Estate,ABC1004096,Office building,1/1/18,11,"$2,938,295.12 ",5.48%,"$4,025,061.80 ","$22,137.84 ",0.14,60,16,1%,2000,1
Commercial Real Estate,ABC1004097,Retail space,1/1/15,9,"$1,395,745.08 ",4.36%,"$1,789,416.77 ","$115,238.44 ",1.89,60,11,10%,2002,0
Commercial Real Estate,ABC1004098,Retail space,1/1/13,5,"$780,486.55 ",5.34%,"$1,419,066.46 ","$106,713.80 ",2.56,60,11,9%,2007,0
Commercial Real Estate,ABC1004099,Retail space,1/1/14,5,"$1,470,096.53 ",4.29%,"$2,297,025.83 ","$202,827.38 ",3.22,120,40,14%,2009,1
Commercial Real Estate,ABC1004100,Office building,1/1/17,5,"$2,217,908.58 ",4.85%,"$3,891,067.69 ","$271,207.42 ",2.52,120,105,15%,2006,0
Commercial Real Estate,ABC1004101,Retail space,1/1/14,8,"$1,279,652.37 ",5.39%,"$2,097,790.76 ","$94,820.14 ",1.37,120,69,14%,1996,0
Commercial Real Estate,ABC1004102,Multifamily residential,1/1/18,8,"$7,647,514.30 ",4.20%,"$10,196,685.74 ","$722,945.02 ",2.25,120,87,9%,2004,0
Commercial Real Estate,ABC1004103,Multifamily residential,1/1/13,5,"$985,314.12 ",4.77%,"$1,759,489.50 ","$113,135.17 ",2.41,120,76,31%,2006,0
Commercial Real Estate,ABC1004104,Multifamily residential,1/1/11,4,"$4,419,583.69 ",4.64%,"$9,019,558.54 ","$495,173.76 ",2.41,120,107,9%,1999,0
Commercial Real Estate,ABC1004105,Multifamily residential,1/1/18,8,"$734,202.81 ",4.60%,"$1,129,542.79 ","$58,397.36 ",1.73,60,53,6%,2008,0
Commercial Real Estate,ABC1004106,Multifamily residential,1/1/16,9,"$2,982,833.71 ",5.50%,"$4,201,174.24 ","$192,413.78 ",1.17,60,54,4%,1999,0
Commercial Real Estate,ABC1004107,Multifamily residential,1/1/13,9,"$7,480,874.49 ",5.78%,"$10,536,442.95 ","$747,033.81 ",1.73,60,58,14%,2001,1
Commercial Real Estate,ABC1004108,Retail space,1/1/19,8,"$1,558,817.27 ",5.56%,"$2,514,221.40 ","$96,546.10 ",1.11,180,37,2%,2005,0
Commercial Real Estate,ABC1004109,Multifamily residential,1/1/15,10,"$13,634,547.86 ",5.74%,"$17,940,194.55 ","$827,042.97 ",1.06,120,55,8%,2008,0
Commercial Real Estate,ABC1004110,Multifamily residential,1/1/17,8,"$3,019,415.12 ",5.91%,"$4,193,632.11 ","$346,813.38 ",1.94,180,56,1%,1996,0
Commercial Real Estate,ABC1004111,Multifamily residential,1/1/14,8,"$7,383,377.89 ",5.98%,"$11,536,527.95 ","$678,347.84 ",1.54,60,56,4%,2003,0
Commercial Real Estate,ABC1004112,Office building,1/1/16,10,"$19,906,147.14 ",4.10%,"$29,273,745.80 ","$652,804.53 ",0.8,120,76,4%,2004,0
Commercial Real Estate,ABC1004113,Office building,1/1/13,11,"$4,286,382.37 ",5.97%,"$5,227,295.57 ","$357,547.02 ",1.4,60,22,7%,2009,0
Commercial Real Estate,ABC1004114,Multifamily residential,1/1/18,5,"$1,878,294.34 ",4.84%,"$3,130,490.57 ","$271,413.53 ",2.99,60,57,6%,2003,0
Commercial Real Estate,ABC1004115,Office building,1/1/14,9,"$842,207.98 ",5.44%,"$1,257,026.83 ","$38,465.02 ",0.84,60,44,5%,1995,0
Commercial Real Estate,ABC1004116,Office building,1/1/19,11,"$15,638,136.85 ",4.99%,"$18,841,128.74 ","$853,503.13 ",1.09,60,58,6%,2005,1
Commercial Real Estate,ABC1004117,Multifamily residential,1/1/17,11,"$18,009,818.43 ",5.95%,"$22,234,343.74 ","$1,349,624.66 ",1.26,120,59,39%,2005,0
Commercial Real Estate,ABC1004118,Multifamily residential,1/1/13,7,"$2,895,821.91 ",4.39%,"$4,387,608.95 ","$299,234.93 ",2.35,120,75,12%,2003,0
Commercial Real Estate,ABC1004119,Retail space,1/1/12,6,"$999,110.19 ",4.26%,"$1,585,889.19 ","$111,329.42 ",2.62,120,24,34%,2009,0
Commercial Real Estate,ABC1004120,Retail space,1/1/12,7,"$1,065,537.45 ",4.92%,"$1,544,257.17 ","$128,482.20 ",2.45,120,14,36%,1999,0
Commercial Real Estate,ABC1004121,Office building,1/1/14,4,"$14,173,393.35 ",4.34%,"$25,769,806.09 ","$2,156,932.77 ",3.51,60,18,10%,2001,0
Commercial Real Estate,ABC1004122,Multifamily residential,1/1/13,6,"$1,520,263.01 ",4.60%,"$2,815,301.87 ","$127,251.64 ",1.82,120,83,6%,2000,0
Commercial Real Estate,ABC1004123,Multifamily residential,1/1/12,8,"$13,061,151.31 ",5.06%,"$19,494,255.69 ","$1,157,958.79 ",1.75,120,81,2%,1997,0
Commercial Real Estate,ABC1004124,Office building,1/1/14,12,"$2,529,976.82 ",5.41%,"$2,811,085.35 ","$124,249.97 ",0.91,120,104,33%,1998,1
Commercial Real Estate,ABC1004125,Multifamily residential,1/1/18,9,"$4,864,316.73 ",4.18%,"$6,236,303.51 ","$368,565.54 ",1.81,60,25,8%,1995,0
Commercial Real Estate,ABC1004126,Multifamily residential,1/1/19,7,"$827,517.43 ",5.38%,"$1,313,519.73 ","$92,997.20 ",2.09,60,41,10%,2007,0
Commercial Real Estate,ABC1004127,Office building,1/1/17,8,"$3,091,854.37 ",5.92%,"$4,614,708.02 ","$335,950.74 ",1.84,120,2,37%,1999,0
Commercial Real Estate,ABC1004128,Multifamily residential,1/1/14,8,"$1,698,508.28 ",5.65%,"$2,653,919.19 ","$138,799.97 ",1.45,60,5,15%,1997,0
Commercial Real Estate,ABC1004129,Multifamily residential,1/1/17,12,"$5,071,268.14 ",5.27%,"$6,586,062.52 ","$38,199.16 ",0.14,120,14,2%,2005,0
Commercial Real Estate,ABC1004130,Office building,1/1/17,8,"$3,528,961.44 ",4.50%,"$5,114,436.87 ","$271,576.60 ",1.71,120,12,8%,2006,0
Commercial Real Estate,ABC1004131,Multifamily residential,1/1/15,9,"$12,469,049.78 ",5.63%,"$17,562,041.95 ","$1,029,135.66 ",1.47,60,8,5%,1997,0
Commercial Real Estate,ABC1004132,Office building,1/1/16,6,"$5,831,634.79 ",5.39%,"$9,560,057.03 ","$808,780.83 ",2.57,120,79,13%,2007,0
Commercial Real Estate,ABC1004133,Multifamily residential,1/1/17,7,"$10,285,400.41 ",5.81%,"$16,070,938.15 ","$1,194,070.70 ",2,120,70,6%,2008,0
Commercial Real Estate,ABC1004134,Retail space,1/1/14,6,"$1,582,164.12 ",4.38%,"$2,361,438.98 ","$205,917.48 ",2.97,120,30,12%,2005,0
Commercial Real Estate,ABC1004135,Multifamily residential,1/1/14,9,"$36,481,203.89 ",4.77%,"$48,001,584.07 ","$3,657,720.71 ",2.1,120,45,38%,2002,0
Commercial Real Estate,ABC1004136,Multifamily residential,1/1/12,8,"$2,176,032.07 ",5.69%,"$2,826,015.67 ","$289,384.00 ",2.34,180,126,13%,1996,0
Commercial Real Estate,ABC1004137,Multifamily residential,1/1/14,10,"$1,394,110.14 ",5.65%,"$1,909,739.91 ","$86,320.24 ",1.1,120,114,2%,1995,1
Commercial Real Estate,ABC1004138,Retail space,1/1/17,7,"$6,071,129.55 ",4.13%,"$8,673,042.21 ","$623,591.74 ",2.49,60,56,5%,2004,0
Commercial Real Estate,ABC1004139,Retail space,1/1/14,8,"$3,440,618.91 ",5.49%,"$5,375,967.04 ","$282,775.87 ",1.5,120,104,13%,2006,0
Commercial Real Estate,ABC1004140,Retail space,1/1/15,8,"$8,265,472.64 ",5.37%,"$12,914,800.99 ","$538,547.20 ",1.21,60,34,28%,2004,0
Commercial Real Estate,ABC1004141,Multifamily residential,1/1/15,9,"$825,912.59 ",5.37%,"$1,147,100.82 ","$57,699.17 ",1.3,60,32,14%,1998,0
Commercial Real Estate,ABC1004142,Retail space,1/1/13,9,"$1,772,942.22 ",5.34%,"$2,569,481.48 ","$115,883.61 ",1.22,60,30,15%,1996,0
Commercial Real Estate,ABC1004143,Multifamily residential,1/1/16,9,"$2,640,690.92 ",5.96%,"$3,617,384.82 ","$280,347.32 ",1.78,120,56,15%,2000,0
Commercial Real Estate,ABC1004144,Multifamily residential,1/1/13,11,"$8,333,132.52 ",5.74%,"$10,964,648.06 ","$357,447.53 ",0.75,180,118,4%,2000,0
Commercial Real Estate,ABC1004145,Retail space,1/1/11,7,"$792,140.64 ",5.23%,"$1,257,366.09 ","$87,889.89 ",2.12,180,148,13%,1995,0
Commercial Real Estate,ABC1004146,Multifamily residential,1/1/16,10,"$6,020,167.90 ",5.68%,"$7,253,214.33 ","$673,098.29 ",1.97,60,14,4%,2009,0
Commercial Real Estate,ABC1004147,Multifamily residential,1/1/13,7,"$5,975,448.88 ",5.90%,"$9,637,820.77 ","$742,112.20 ",2.1,120,118,9%,1997,0
Commercial Real Estate,ABC1004148,Retail space,1/1/15,10,"$7,869,963.71 ",5.30%,"$10,780,772.21 ","$424,762.42 ",1.02,120,6,1%,2004,0
Commercial Real Estate,ABC1004149,Office building,1/1/18,4,"$2,158,881.45 ",5.27%,"$3,482,066.86 ","$430,383.46 ",3.78,60,11,30%,2005,0
Commercial Real Estate,ABC1004150,Multifamily residential,1/1/17,9,"$6,668,376.69 ",4.96%,"$10,103,601.04 ","$350,594.96 ",1.06,60,3,6%,1997,1
Commercial Real Estate,ABC1004151,Multifamily residential,1/1/12,12,"$5,935,379.33 ",5.96%,"$6,594,865.92 ","$424,709.37 ",1.2,120,19,6%,2000,1
Commercial Real Estate,ABC1004152,Retail space,1/1/15,8,"$2,832,207.84 ",5.90%,"$4,227,175.88 ","$318,306.34 ",1.9,60,2,11%,2005,0
Commercial Real Estate,ABC1004153,Multifamily residential,1/1/13,7,"$1,714,714.65 ",4.59%,"$2,521,639.19 ","$182,566.68 ",2.32,60,59,39%,1995,0
Commercial Real Estate,ABC1004154,Retail space,1/1/12,9,"$10,153,295.62 ",4.06%,"$14,714,921.18 ","$459,105.54 ",1.11,60,60,37%,2007,0
Commercial Real Estate,ABC1004155,Retail space,1/1/12,12,"$2,764,322.97 ",4.18%,"$3,252,144.67 ","$120,004.14 ",1.04,120,96,13%,2008,0
Commercial Real Estate,ABC1004156,Multifamily residential,1/1/16,5,"$2,636,878.87 ",4.33%,"$3,713,913.90 ","$420,786.45 ",3.69,120,84,9%,2008,0
Commercial Real Estate,ABC1004157,Retail space,1/1/12,11,"$9,555,875.48 ",4.46%,"$11,797,377.14 ","$445,940.86 ",1.05,60,40,2%,2002,0
Commercial Real Estate,ABC1004158,Multifamily residential,1/1/18,7,"$968,665.94 ",4.08%,"$1,467,675.67 ","$76,759.44 ",1.94,60,37,32%,2003,0
Commercial Real Estate,ABC1004159,Office building,1/1/12,7,"$374,192.16 ",5.63%,"$623,653.61 ","$37,855.77 ",1.8,60,37,39%,2004,0
Commercial Real Estate,ABC1004160,Office building,1/1/16,9,"$15,680,399.51 ",5.19%,"$23,758,181.07 ","$864,797.79 ",1.06,120,27,10%,2000,0
Commercial Real Estate,ABC1004161,Retail space,1/1/17,9,"$389,033.69 ",4.34%,"$607,865.13 ","$10,090.56 ",0.6,60,43,5%,2004,0
